Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage,Linkedin
renofy.ai,https://finder.startupnationcentral.org/company_page/vibit,Online Showroom for Custom Kitchens,Retail & Marketing,2020,01-Oct,Pre-Funding,74986929
Safepack Products - Decco Israel,https://finder.startupnationcentral.org/company_page/safepack-products-ltd-decco-israel,Post-harvest Solutions for Fruits and Vegetables,AgriFood-tech & Water,1960,Nov-50,Pre-Funding,
MicroTag Temed,https://finder.startupnationcentral.org/company_page/microtag-temed,Authentication and Anti-counterfeiting Solutions,Security Technologies,1993,01-Oct,Pre-Funding,1894134
PlantIfoods,https://finder.startupnationcentral.org/company_page/plantifoods,Plant-based Milk Products,AgriFood-tech & Water,2022,01-Oct,Pre-Funding,
Must Ride,https://finder.startupnationcentral.org/company_page/must-ride,Express Air Cargo Solutions,Smart Mobility,2020,01-Oct,Pre-Funding,67965433
POC Systems,https://finder.startupnationcentral.org/company_page/point-of-contact-p-o-c-ltd,Intuitive Graphical Platform for Space Management ,Industrial Technologies,2011,Nov-50,Pre-Funding,4851357
Makerlab,https://finder.startupnationcentral.org/company_page/makerlab,Self-learning Digital Platform,Content & Media,2013,01-Oct,Pre-Funding,
Awrora,https://finder.startupnationcentral.org/company_page/awrora,"Brand, Web, People, and Data Protection Platform",Security Technologies,2020,01-Oct,Pre-Funding,69594704
Unboxed,https://finder.startupnationcentral.org/company_page/unboxed,Game Development and Outsourcing,Content & Media,2018,01-Oct,Pre-Funding,
heady helmet,https://finder.startupnationcentral.org/company_page/heady-helmet,Compact Inflatable Helmet,Smart Mobility,2020,01-Oct,Pre-Funding,75418544
Darbox,https://finder.startupnationcentral.org/company_page/darbox,Plastic Packaging and Buckets,Industrial Technologies,2000,Nov-50,Pre-Funding,2448560
Deemedya,https://finder.startupnationcentral.org/company_page/deemedya,Mobile Game Publisher ,Content & Media,2010,Nov-50,Pre-Funding,1303902
TouchMedical,https://finder.startupnationcentral.org/company_page/touch-medical,Patch Pump for Drug Delivery,Life Sciences & HealthTech,2010,01-Oct,Pre-Funding,
Curatronic,https://finder.startupnationcentral.org/company_page/curatronic,Pulsed Electromagnetic Field Technology,Life Sciences & HealthTech,2000,01-Oct,Pre-Funding,51902956
Xtras,https://finder.startupnationcentral.org/company_page/xtras,Employee Recruitment and Management Platform,"Enterprise, IT & Data Infrastructure",2014,Nov-50,Seed,9421947
Ivory Software Systems,https://finder.startupnationcentral.org/company_page/ivory-software-systems,Core Capital Markets Platform for Banks,FinTech,1991,Nov-50,Pre-Funding,4395322
Novel Concepts Medical,https://finder.startupnationcentral.org/company_page/novel-concepts-medical,Natural Treatments for Global Diseases,Life Sciences & HealthTech,2020,01-Oct,Pre-Funding,
GREEMS,https://finder.startupnationcentral.org/company_page/gre-ems,EV Infrastructure Management System for Property Management Companies,Energy-tech,2022,01-Oct,Pre-Funding,85843996
Bloom Agro,https://finder.startupnationcentral.org/company_page/bloom-agro,Water Treatment Solutions,AgriFood-tech & Water,2013,01-Oct,Pre-Funding,11275179
Cigloo,https://finder.startupnationcentral.org/company_page/cigloo,Browser Isolation Management,Security Technologies,2015,01-Oct,Pre-Funding,10453483
SCADASudo,https://finder.startupnationcentral.org/company_page/scadasudo,SIEM for Industrial Networks,Security Technologies,2015,01-Oct,Pre-Funding,27182180
Kenesto,https://finder.startupnationcentral.org/company_page/kenesto,Cloud-based Product Document Management ,"Enterprise, IT & Data Infrastructure",2008,01-Oct,D,2778875
FoodFix,https://finder.startupnationcentral.org/company_page/foodfix,Nutrition Management Solution for In-patients,AgriFood-tech & Water,2015,01-Oct,Pre-Funding,6455090
Tupaia,https://finder.startupnationcentral.org/company_page/tupaia, GNSS-based Precise Positioning,Smart Mobility,2020,01-Oct,Pre-Funding,77658177
Beyond Virtual,https://finder.startupnationcentral.org/company_page/beyond-virtual,A platform for building AI-based virtual humans - for educational use cases and more.,EdTech,2022,01-Oct,Seed,
Anannda Remote Living,https://finder.startupnationcentral.org/company_page/magic-square,Remote Living Membership Platform for Premium Nomads,Retail & Marketing,2020,01-Oct,Pre-Seed,
JVocals,https://finder.startupnationcentral.org/company_page/jvocals,Community Marketplace for Jewish Voice Talent,Retail & Marketing,2019,01-Oct,Pre-Funding,30077195
CiBeez,https://finder.startupnationcentral.org/company_page/cibeez,Last-mile Delivery Management Platform,Smart Mobility,2016,01-Oct,Pre-Funding,17894441
Size PPL,https://finder.startupnationcentral.org/company_page/size-ppl,AI Body Measurement System,Retail & Marketing,2020,01-Oct,Pre-Funding,69495340
HaKaveret,https://finder.startupnationcentral.org/company_page/hakaveret,Cloud-based CRM Software,"Enterprise, IT & Data Infrastructure",2002,Nov-50,Pre-Funding,10072417
Intellectum Systems,https://finder.startupnationcentral.org/company_page/intellectum-systems,Natural Language Understanding Engine for Speech and Text,Content & Media,2020,01-Oct,Pre-Funding,72434740
ComposeDoc,https://finder.startupnationcentral.org/company_page/composedoc,Document Composition and Output Management Platform,"Enterprise, IT & Data Infrastructure",2009,Nov-50,Pre-Funding,1457387
Artisan Sonics,https://finder.startupnationcentral.org/company_page/artisan-sonics,Workflow Optimization for OB-GYN Sonographers,Life Sciences & HealthTech,1995,01-Oct,Pre-Funding,9333862
Super Fine,https://finder.startupnationcentral.org/company_page/super-fine,Milling Technology for Particle Size Reduction,Industrial Technologies,1996,01-Oct,Pre-Funding,82019836
Hoffmann & Hoffmann,https://finder.startupnationcentral.org/company_page/hoffmann-hoffmann,Control and Monitoring Instrumentation for the Water Market,AgriFood-tech & Water,1968,01-Oct,Pre-Funding,11293337
Rashim,https://finder.startupnationcentral.org/company_page/rashim,Academic Administration and Training Software,Content & Media,1987,Nov-50,Pre-Funding,5118753
Agrosoft,https://finder.startupnationcentral.org/company_page/agrosoft,Software for Agriculture,AgriFood-tech & Water,2009,01-Oct,Pre-Funding,
OfficeTrack,https://finder.startupnationcentral.org/company_page/officecore,Mobile Employee Management,"Enterprise, IT & Data Infrastructure",2002,Nov-50,Pre-Funding,2408547
SEOgenie,https://finder.startupnationcentral.org/company_page/seogenie,Automated SEO Platform,"Enterprise, IT & Data Infrastructure",2004,01-Oct,Pre-Funding,651026
Pulseem,https://finder.startupnationcentral.org/company_page/pulseem,Email Marketing and SMS Solutions,Retail & Marketing,2007,Nov-50,Pre-Funding,2650215
Axis-Z,https://finder.startupnationcentral.org/company_page/axis-z,Virtual-reality Trading Platform,FinTech,2021,01-Oct,Pre-Funding,71184071
E2read,https://finder.startupnationcentral.org/company_page/e2read,SaaS Platform for Students with Reading Difficulties,Content & Media,2020,01-Oct,Pre-Funding,81786305
SuperSpectra,https://finder.startupnationcentral.org/company_page/superspectra,Noninvasive Imaging Device for Alzheimer's Disease,Life Sciences & HealthTech,2020,01-Oct,Pre-Funding,
OutOfScreens,https://finder.startupnationcentral.org/company_page/outofscreens,3D Printing Technology,Industrial Technologies,2018,01-Oct,Pre-Funding,
Octosense,https://finder.startupnationcentral.org/company_page/octosense,Augmented and Virtual Reality Content,Content & Media,2015,01-Oct,Pre-Funding,10998320
Tevet Water Technologies,https://finder.startupnationcentral.org/company_page/tevet-water-technologies,Wastewater Treatment for Dairy Farms,AgriFood-tech & Water,2012,01-Oct,Pre-Funding,
Rollinom,https://finder.startupnationcentral.org/company_page/rollinom,3D Property Models,"Enterprise, IT & Data Infrastructure",2015,01-Oct,Pre-Funding,18101142
MonTier Software,https://finder.startupnationcentral.org/company_page/montier-software,DataPower Gateway Monitoring and Troubleshooting Tool,"Enterprise, IT & Data Infrastructure",2015,01-Oct,Pre-Funding,10485474
Rainbow Factory,https://finder.startupnationcentral.org/company_page/rainbow-factory,Mobile Gaming App for Woman,Content & Media,2022,01-Oct,Pre-Funding,83521891
Demoleap,https://finder.startupnationcentral.org/company_page/demoleap,AI-powered Live demo Assistant  & Sales Discovery Platform,Retail & Marketing,2019,Nov-50,Seed,70427121
BagelDB,https://finder.startupnationcentral.org/company_page/bageldb,Platform for Scalable Web and Mobile Apps,"Enterprise, IT & Data Infrastructure",2017,01-Oct,Pre-Funding,18023636
Neox,https://finder.startupnationcentral.org/company_page/neox,Early Detection of Deterioration in Preterm Neonates,Life Sciences & HealthTech,2021,01-Oct,Pre-Seed,
Chiq.AI,https://finder.startupnationcentral.org/company_page/eggrogate,,,2021,01-Oct,Pre-Funding,
Dance Demy,https://finder.startupnationcentral.org/company_page/dance-demy,Online Dance Instruction App,Content & Media,2019,01-Oct,Pre-Funding,81620792
Elefend,https://finder.startupnationcentral.org/company_page/elefend-security,Consumer Fraud and Identity Theft Protection,Security Technologies,2019,01-Oct,Pre-Seed,18961564
oTToppo,https://finder.startupnationcentral.org/company_page/ottoppo,Community Parking Solution,Smart Mobility,2018,01-Oct,Pre-Funding,
Veg it Out,https://finder.startupnationcentral.org/company_page/veg-it-out,Customized Recipe Creation,Retail & Marketing,2019,01-Oct,Pre-Funding,34745926
Mona,https://finder.startupnationcentral.org/company_page/mona,Intelligent Monitoring Solution for AI and Data-driven Applications,"Enterprise, IT & Data Infrastructure",2018,Nov-50,Seed,35506044
Sound Radix,https://finder.startupnationcentral.org/company_page/sound-radix,Audio Plugins for Music Creators and Sound Engineers,Content & Media,2010,01-Oct,Pre-Funding,3264008
Kontroller CPM Software,https://finder.startupnationcentral.org/company_page/kontroller-cpm-software,"Financial Consolidation, Management, and Analysis Solution","Enterprise, IT & Data Infrastructure",2018,01-Oct,Pre-Funding,72739606
PetNovations,https://finder.startupnationcentral.org/company_page/petnovations,Technological Innovations for Pets and Their Owners,Industrial Technologies,2005,Nov-50,Seed,72418869
Stands,https://finder.startupnationcentral.org/company_page/stands,Fair and Equitable Ad Blocker,Security Technologies,2014,01-Oct,Pre-Funding,4868326
Capitan,https://finder.startupnationcentral.org/company_page/capit-n,Enterprise Management Solutions,"Enterprise, IT & Data Infrastructure",2015,01-Oct,Pre-Funding,4861965
SMUFS Biometric Solutions,https://finder.startupnationcentral.org/company_page/smufs-biometric-solutions,Biometric Solutions Using Smartphones for Identity Verification,Security Technologies,2011,01-Oct,Pre-Funding,3206874
KAYA Instruments,https://finder.startupnationcentral.org/company_page/kaya-instruments1,Machine Vision Hardware and Software Developer,Industrial Technologies,2008,01-Oct,Pre-Funding,5003362
Digital-Clay,https://finder.startupnationcentral.org/company_page/digital-clay1,Custom Database Software,"Enterprise, IT & Data Infrastructure",2003,01-Oct,Pre-Funding,527498
Control-See,https://finder.startupnationcentral.org/company_page/control-see,Industrial Automation Control Solutions,Industrial Technologies,1996,01-Oct,Pre-Funding,2376433
RumbleTalk,https://finder.startupnationcentral.org/company_page/rumbletalk,Live Group Chat for Websites,"Enterprise, IT & Data Infrastructure",2012,01-Oct,Seed,3316366
Informed Decisions,https://finder.startupnationcentral.org/company_page/informed-decisions,People Analytics Platform,"Enterprise, IT & Data Infrastructure",2022,01-Oct,Pre-Funding,74477168
Maiura Labs,https://finder.startupnationcentral.org/company_page/maiuralabs,AI-powered Pricing Solution,Industrial Technologies,2021,01-Oct,Pre-Funding,
Innoventric,https://finder.startupnationcentral.org/company_page/innoventric,Transcatheter Solution for Tricuspid Regurgitation,Life Sciences & HealthTech,2016,01-Oct,A,42845988
StepAhead,https://finder.startupnationcentral.org/company_page/stepahead,Organizational Network Analytics Solution,"Enterprise, IT & Data Infrastructure",2014,01-Oct,Pre-Funding,11358571
Proofig,https://finder.startupnationcentral.org/company_page/proofig,Automated Quality Assurance for Research Articles,"Enterprise, IT & Data Infrastructure",2017,01-Oct,Pre-Seed,18740873
getStatus,https://finder.startupnationcentral.org/company_page/getstatus,Progress Tracker for Business Tasks,Industrial Technologies,2015,01-Oct,Pre-Funding,10407529
Session 42,https://finder.startupnationcentral.org/company_page/session-42-1,Digital Native Music Platform,Content & Media,2021,01-Oct,Pre-Funding,81458912
Shockwave Security,https://finder.startupnationcentral.org/company_page/shockwave-security,Application Security Monitoring Suite,Security Technologies,2023,01-Oct,Pre-Funding,76210755
Molex Solutions,https://finder.startupnationcentral.org/company_page/molex-solutions,Protection of Agricultural Crops,AgriFood-tech & Water,2021,01-Oct,Seed,82141860
Qwix App,https://finder.startupnationcentral.org/company_page/qwix-app,A Platform for Bookkeeping that is Specifically Designed to Reduce Expenses while Increasing Valuable Insights for Businesses,"Enterprise, IT & Data Infrastructure",2023,01-Oct,Pre-Funding,
Centrefy,https://finder.startupnationcentral.org/company_page/centrefy,Holistic Solution for Improved Medication Adherence and Treatment Outcomes,Life Sciences & HealthTech,2019,01-Oct,Pre-Funding,67346873
Cyber Meters Networks,https://finder.startupnationcentral.org/company_page/cyber-meters-networks,Smart Metering Solutions,Security Technologies,2020,01-Oct,Pre-Funding,
Esquare,https://finder.startupnationcentral.org/company_page/esquare-iot,Transportation Management Platform,Smart Mobility,2017,01-Oct,Pre-Funding,
Koglo,https://finder.startupnationcentral.org/company_page/koglo-ltd,Home Device for Fluid Therapy for Cats and Dogs,Life Sciences & HealthTech,2018,01-Oct,Seed,18990982
E.S. Embedded Solutions,https://finder.startupnationcentral.org/company_page/e-s-embedded-solutions,Communication and Security Solutions,Security Technologies,2001,Nov-50,Pre-Funding,
Ilsar Truffles,https://finder.startupnationcentral.org/company_page/ilsar-truffles,Truffle-growing Solutions,AgriFood-tech & Water,2011,01-Oct,A,
Audioplace.me,https://finder.startupnationcentral.org/company_page/audioplace-me,Text To Speech Widget,Content & Media,2020,01-Oct,Pre-Funding,76561756
Biocom,https://finder.startupnationcentral.org/company_page/biocom,Access Control and Time-and-Attendance Solutions,Security Technologies,2000,Nov-50,Pre-Funding,639234
Opereto,https://finder.startupnationcentral.org/company_page/opereto,Continuous Testing Framework,"Enterprise, IT & Data Infrastructure",2014,01-Oct,Pre-Funding,5120608
Raz Sprayers,https://finder.startupnationcentral.org/company_page/raz-sprayers-raz-brothers,Agricultural Sprayers,AgriFood-tech & Water,1968,01-Oct,Pre-Funding,10630843
